music_id,music_name
1,Ahe's My Kind Of Girl
2,"Andante, Andante"
3,As Good As New
4,Bang
5,Bang-A-Boomerang
6,Burning My Bridges
7,Cassandra
8,Chiquitita
9,Crazy World
10,Crying Over You
11,Dance
12,Dancing Queen
13,Disillusion
14,Does Your Mother Know
15,Dream World
16,Dum Dum Diddle
17,Eagle
18,Every Good Man
19,Fernando
20,Fernando (In Spanish)
21,Free As A Bumble Bee
22,From A Twinkling Star To A Passing Angel
23,Gimme Gimme Gimme
24,Givin' A Little Bit More
25,Gonna Sing You My Lovesong
26,Hamlet III
27,Happy Hawaii
28,Happy New Year
29,He Is Your Brother
30,Head Over Heels
31,Here We'll Stay
32,Hey Hey Helen
33,Hole In Your Soul
34,"Honey, Honey"
35,I Am Just A Girl
36,I Am The City
37,"I Do, I Do, I Do, I Do, I Do"
38,I Have A Dream
39,I Let The Music Speak
40,I Saw It In The Mirror
41,I Wonder (Departure)
42,I Wonder (Departure) [Live]
43,If It Wasn't For The Nights
44,I'm A Marionette
45,I've Been Waiting For You
46,Juper Jrouper
47,Just A Notion
48,King Kong Song
49,Kisses Of Fire
50,Knowing Me Knowing You
51,Lay All Your Love On Me
52,Like An Angel Passing Through My Room
53,Love Has It's Ways
54,Love Isn't Easy
55,Lovelight
56,Lovers
57,Mamma Mia
58,Man In The Middle
59,Me And Bobby And Bobby's Brother
60,Me And I
61,Merry-Go-Round
62,Midnight Special
63,Money Money Money
64,Move On
65,"My Love, My Life"
66,My Mama Said
67,"Nina, Pretty Ballerina"
68,On And On And On
69,"One Man, One Woman"
70,One Of Us
71,Our Last Summer
72,People Need Love
73,Pick A Bale Of Cotton
74,Put On Your White Sombrero
75,Reina Danzante
76,Rikky Rock'n'Roller
77,Ring Ring
78,Rock Me
79,Rock 'n Roll Band
80,Rubber Ball Man
81,S. O. S.
82,Should I Laugh Or Cry
83,Sitting In The Palmtree
84,Slipping Through My Fingers
85,So Long
86,Soldiers
87,SOS
88,Summer Night City
89,Suzy-Hang-Around
90,Take A Chance
91,Take A Chance On Me
92,Thank You For The Music
93,That's Me
94,The Day Before You Came
95,The King Has Lost His Crown
96,The Name Of The Game
97,The Piper
98,The Visitors
99,The Way Old Friends Do
100,The Winner Takes It All
101,Tiger
102,Tropical Loveland
103,Two For The Price Of One
104,Under Attack
105,Voulez Vous
106,Watch Out
107,Waterloo
108,We Wish You A Merry Christmas
109,What About Livingstone
110,When All Is Said And Done
111,When I Kissed The Teacher
112,Why Did It Have To Be Me?
113,You Owe Me One
114,"Always Have, Always Will"
115,Cecilia
116,Don't Stop
117,Edge Of Heaven
118,Fashion Party
119,Happy Nation
120,Hey Darling
121,Life Is A Flower
122,"Mercy, Mercy"
